,words,words_index,tags,tags_index
0,"['高', '勇', '：', '男', '，', '中', '国', '国', '籍', '，', '无', '境', '外', '居', '留', '权', '，']","[0, 1, 2, 3, 4, 5, 6, 6, 7, 4, 8, 9, 10, 11, 12, 13, 4]","['B-NAME', 'E-NAME', 'O', 'O', 'O', 'B-CONT', 'M-CONT', 'M-CONT', 'E-CONT', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 1, 2, 2, 2, 3, 4, 4, 5, 2, 2, 2, 2, 2, 2, 2, 2]"
1,"['1', '9', '6', '6', '年', '出', '生', '，', '汉', '族', '，', '中', '共', '党', '员', '，', '本', '科', '学', '历', '，', '工', '程', '师', '、', '美', '国', '项', '目', '管', '理', '协', '会', '注', '册', '会', '员', '（', 'P', 'M', 'I', 'M', 'e', 'm', 'b', 'e', 'r', '）', '、', '注', '册', '项', '目', '管', '理', '专', '家', '（', 'P', 'M', 'P', '）', '、', '项', '目', '经', '理', '。']","[14, 15, 16, 16, 17, 18, 19, 4, 20, 21, 4, 5, 22, 23, 24, 4, 25, 26, 27, 28, 4, 29, 30, 31, 32, 33, 6, 34, 35, 36, 37, 38, 39, 40, 41, 39, 24, 42, 43, 44, 45, 44, 46, 47, 48, 46, 49, 50, 32, 40, 41, 34, 35, 36, 37, 51, 52, 42, 43, 44, 43, 50, 32, 34, 35, 53, 37, 54]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-RACE', 'E-RACE', 'O', 'B-TITLE', 'M-TITLE', 'M-TITLE', 'E-TITLE', 'O', 'B-EDU', 'M-EDU', 'M-EDU', 'E-EDU', 'O', 'B-TITLE', 'M-TITLE', 'E-TITLE', 'O', 'B-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'E-ORG', 'B-TITLE', 'M-TITLE', 'M-TITLE', 'E-TITLE', 'O', 'B-TITLE', 'M-TITLE', 'M-TITLE', 'M-TITLE', 'M-TITLE', 'M-TITLE', 'M-TITLE', 'M-TITLE', 'E-TITLE', 'O', 'O', 'B-TITLE', 'M-TITLE', 'M-TITLE', 'M-TITLE', 'M-TITLE', 'M-TITLE', 'M-TITLE', 'E-TITLE', 'O', 'B-TITLE', 'M-TITLE', 'E-TITLE', 'O', 'O', 'B-TITLE', 'M-TITLE', 'M-TITLE', 'E-TITLE', 'O']","[2, 2, 2, 2, 2, 2, 2, 2, 6, 7, 2, 8, 9, 9, 10, 2, 11, 12, 12, 13, 2, 8, 9, 10, 2, 14, 15, 15, 15, 15, 15, 15, 16, 8, 9, 9, 10, 2, 8, 9, 9, 9, 9, 9, 9, 9, 10, 2, 2, 8, 9, 9, 9, 9, 9, 9, 10, 2, 8, 9, 10, 2, 2, 8, 9, 9, 10, 2]"
2,"['2', '0', '0', '7', '年', '1', '0', '月', '至', '今', '任', '人', '和', '投', '资', '董', '事', '；']","[55, 56, 56, 57, 17, 14, 56, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'M-ORG', 'M-ORG', 'E-ORG', 'B-TITLE', 'E-TITLE', 'O']","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 14, 15, 15, 16, 8, 10, 2]"
3,"['2', '0', '0', '7', '年', '1', '2', '月', '至', '2', '0', '1', '3', '年', '2', '月', '任', '公', '司', '董', '事', '、', '董', '事', '会', '秘', '书', '、', '综', '合', '管', '理', '部', '部', '长', '；']","[55, 56, 56, 57, 17, 14, 55, 58, 59, 55, 56, 14, 69, 17, 55, 58, 61, 70, 71, 66, 67, 32, 66, 67, 39, 72, 73, 32, 74, 75, 36, 37, 76, 76, 77, 68]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'E-ORG', 'B-TITLE', 'E-TITLE', 'O', 'B-TITLE', 'M-TITLE', 'M-TITLE', 'M-TITLE', 'E-TITLE', 'O', 'B-TITLE', 'M-TITLE', 'M-TITLE', 'M-TITLE', 'M-TITLE', 'M-TITLE', 'E-TITLE', 'O']","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 14, 16, 8, 10, 2, 8, 9, 9, 9, 10, 2, 8, 9, 9, 9, 9, 9, 10, 2]"
4,"['2', '0', '1', '3', '年', '2', '月', '至', '今', '任', '山', '东', '三', '维', '石', '化', '工', '程', '股', '份', '有', '限', '公', '司', '董', '事', '、', '董', '事', '会', '秘', '书', '、', '副', '总', '经', '理', '。']","[55, 56, 14, 69, 17, 55, 58, 59, 60, 61, 78, 79, 80, 81, 82, 83, 29, 30, 84, 85, 86, 87, 70, 71, 66, 67, 32, 66, 67, 39, 72, 73, 32, 88, 89, 53, 37, 54]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'E-ORG', 'B-TITLE', 'E-TITLE', 'O', 'B-TITLE', 'M-TITLE', 'M-TITLE', 'M-TITLE', 'E-TITLE', 'O', 'B-TITLE', 'M-TITLE', 'M-TITLE', 'E-TITLE', 'O']","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 14, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 16, 8, 10, 2, 8, 9, 9, 9, 10, 2, 8, 9, 9, 10, 2]"
5,"['张', '雁', '冰', '，', '男', '，']","[90, 91, 92, 4, 3, 4]","['B-NAME', 'M-NAME', 'E-NAME', 'O', 'O', 'O']","[0, 17, 1, 2, 2, 2]"
6,"['1', '9', '6', '5', '年', '1', '月', '出', '生', '，', '中', '国', '国', '籍', '，', '无', '永', '久', '境', '外', '居', '留', '权', '。']","[14, 15, 16, 93, 17, 14, 58, 18, 19, 4, 5, 6, 6, 7, 4, 8, 94, 95, 9, 10, 11, 12, 13, 54]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-CONT', 'M-CONT', 'M-CONT', 'E-CONT', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 4, 4, 5, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
7,"['兰', '州', '商', '学', '院', '会', '计', '专', '业', '学', '士', '，', '中', '国', '社', '科', '院', '研', '究', '生', '院', '国', '际', '贸', '易', '专', '业', '硕', '士', '研', '究', '生', '。']","[96, 97, 98, 27, 99, 39, 100, 51, 101, 27, 102, 4, 5, 6, 103, 26, 99, 104, 105, 19, 99, 6, 106, 107, 108, 51, 101, 109, 102, 104, 105, 19, 54]","['B-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'E-ORG', 'B-PRO', 'M-PRO', 'M-PRO', 'E-PRO', 'B-EDU', 'E-EDU', 'O', 'B-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'E-ORG', 'B-PRO', 'M-PRO', 'M-PRO', 'M-PRO', 'M-PRO', 'E-PRO', 'B-EDU', 'M-EDU', 'M-EDU', 'M-EDU', 'E-EDU', 'O']","[14, 15, 15, 15, 16, 18, 19, 19, 20, 11, 13, 2, 14, 15, 15, 15, 15, 15, 15, 15, 16, 18, 19, 19, 19, 19, 20, 11, 12, 12, 12, 13, 2]"
8,"['1', '9', '8', '7', '年', '7', '月', '-', '1', '9', '9', '5', '年', '5', '月', '任', '甘', '肃', '省', '友', '谊', '公', '司', '主', '管', '会', '计', '、', '第', '二', '经', '营', '部', '副', '经', '理', '，']","[14, 15, 110, 57, 17, 57, 58, 111, 14, 15, 15, 93, 17, 93, 58, 61, 112, 113, 114, 115, 116, 70, 71, 117, 36, 39, 100, 32, 118, 119, 53, 120, 76, 88, 53, 37, 4]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'E-ORG', 'B-TITLE', 'M-TITLE', 'M-TITLE', 'E-TITLE', 'O', 'B-TITLE', 'M-TITLE', 'M-TITLE', 'M-TITLE', 'M-TITLE', 'M-TITLE', 'M-TITLE', 'E-TITLE', 'O']","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 14, 15, 15, 15, 15, 15, 16, 8, 9, 9, 10, 2, 8, 9, 9, 9, 9, 9, 9, 10, 2]"
9,"['1', '9', '9', '5', '年', '5', '月', '-', '-', '2', '0', '1', '0', '年', '2', '月', '历', '任', '华', '为', '技', '术', '有', '限', '公', '司', '财', '务', '经', '理', '、', '山', '东', '华', '为', '副', '总', '经', '理', '、', '河', '北', '华', '为', '副', '总', '经', '理', '、', '乌', '克', '兰', '华', '为', '财', '经', '管', '理', '部', '长', '等', '职', '务', '。']","[14, 15, 15, 93, 17, 93, 58, 111, 111, 55, 56, 14, 56, 17, 55, 58, 28, 61, 121, 122, 123, 124, 86, 87, 70, 71, 125, 126, 53, 37, 32, 78, 79, 121, 122, 88, 89, 53, 37, 32, 127, 128, 121, 122, 88, 89, 53, 37, 32, 129, 130, 96, 121, 122, 125, 53, 36, 37, 76, 77, 131, 132, 126, 54]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'E-ORG', 'B-TITLE', 'M-TITLE', 'M-TITLE', 'E-TITLE', 'O', 'B-ORG', 'M-ORG', 'M-ORG', 'E-ORG', 'B-TITLE', 'M-TITLE', 'M-TITLE', 'E-TITLE', 'O', 'B-ORG', 'M-ORG', 'M-ORG', 'E-ORG', 'B-TITLE', 'M-TITLE', 'M-TITLE', 'E-TITLE', 'O', 'B-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'E-ORG', 'B-TITLE', 'M-TITLE', 'M-TITLE', 'M-TITLE', 'M-TITLE', 'E-TITLE', 'O', 'O', 'O', 'O']","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 14, 15, 15, 15, 15, 15, 15, 16, 8, 9, 9, 10, 2, 14, 15, 15, 16, 8, 9, 9, 10, 2, 14, 15, 15, 16, 8, 9, 9, 10, 2, 14, 15, 15, 15, 16, 8, 9, 9, 9, 9, 10, 2, 2, 2, 2]"
